"Player","Team","REC","YDS","TDS","FL","FPTS"
"","high","2.0","21.0","0.2","0.0","2.7"
"","low","1.4","12.8","0.0","0.1","1.5"
"Erik Swoope","IND","1.2","12.4","0.2","0.1","2.2"
"","high","2.1","22.1","0.3","0.0","4.0"
"","low","0.3","3.3","0.1","0.2","1.0"
"Hayden Hurst","BAL","1.4","14.9","0.1","0.0","2.1"
"","high","2.0","21.0","0.2","0.0","2.9"
"","low","1.0","10.0","0.0","0.0","1.0"
"Jason Croom","BUF","1.4","15.5","0.1","0.1","2.1"
"","high","1.8","20.2","0.2","0.0","3.0"
"","low","0.5","4.2","0.0","0.1","0.5"
"Demetrius Harris","KC","1.0","13.0","0.1","0.0","2.1"
"","high","1.3","17.0","0.2","0.0","2.9"
"","low","0.9","10.0","0.0","0.1","1.0"
"Blake Jarwin","DAL","1.5","15.8","0.1","0.0","2.0"
"","high","2.1","21.8","0.1","0.0","2.8"
"","low","0.5","5.1","0.0","0.0","0.8"
"Mike Gesicki","MIA","1.7","15.6","0.1","0.1","2.0"
"","high","2.5","24.0","0.2","0.0","3.4"
"","low","0.9","4.9","0.0","0.2","0.7"
"Anthony Firkser","TEN","1.1","13.6","0.1","0.0","1.9"
"","high","2.5","31.2","0.2","0.0","4.3"
"","low","0.4","4.5","0.0","0.0","0.7"
"Josh Hill","NO","1.2","12.4","0.1","0.0","1.9"
"","high","1.5","16.3","0.1","0.0","2.3"
"","low","0.9","9.1","0.1","0.0","1.5"
"Jordan Akins","HOU","1.1","12.3","0.1","0.0","1.8"
"","high","1.2","14.6","0.1","0.0","1.9"
"","low","0.9","11.2","0.1","0.0","1.7"
"Nick Boyle","BAL","1.4","13.1","0.1","0.0","1.7"
"","high","1.8","16.0","0.1","0.0","2.2"
"","low","1.0","10.0","0.0","0.0","1.0"
"Luke Stocker","TEN","0.9","10.6","0.1","0.1","1.7"
"","high","1.3","15.3","0.2","0.0","2.5"
"","low","0.6","6.0","0.1","0.2","1.2"
"Jermaine Gresham","ARI","1.4","13.4","0.1","0.0","1.7"
"","high","1.8","17.8","0.1","0.0","2.4"
"","low","1.1","7.9","0.0","0.1","1.1"
"Lance Kendricks","GB","1.2","12.0","0.1","0.0","1.6"
"","high","1.3","14.0","0.1","0.0","1.9"
"","low","1.0","10.0","0.0","0.0","1.0"
"Jordan Leggett","NYJ","1.0","10.7","0.1","0.0","1.6"
"","high","1.1","12.0","0.1","0.0","1.7"
"","low","0.9","9.6","0.1","0.1","1.6"
"Adam Shaheen","CHI","0.7","7.6","0.1","0.0","1.5"
"","high","1.3","13.9","0.3","0.0","3.2"
"","low","0.3","2.8","0.0","0.1","0.5"
"Blake Bell","JAC","0.9","10.4","0.1","0.0","1.4"
"","high","1.4","14.9","0.1","0.0","2.1"
"","low","0.3","3.5","0.0","0.1","0.4"
"Brian Parker","DEN","0.9","9.6","0.1","0.0","1.4"
"","high","1.4","15.4","0.1","0.0","2.1"
"","low","0.1","0.6","0.0","0.0","0.1"
"Darren Fells","CLE","0.7","8.6","0.1","0.0","1.4"
"","high","1.1","13.0","0.2","0.0","2.3"
"","low","0.2","2.5","0.0","0.0","0.3"
"Levine Toilolo","DET","0.9","9.2","0.1","0.0","1.4"
"","high","1.7","18.3","0.2","0.0","3.0"
"","low","0.3","3.1","0.0","0.1","0.3"
"Derek Carrier","OAK","0.9","9.3","0.1","0.0","1.2"
"","high","1.6","17.3","0.1","0.0","2.3"
"","low","0.4","3.8","0.0","0.1","0.5"
"Seth DeValve","CLE","0.6","7.7","0.1","0.0","1.1"
"","high","0.9","11.4","0.2","0.0","2.0"
"","low","0.2","3.0","0.0","0.0","0.4"
"Dalton Schultz","DAL","0.7","7.4","0.1","0.0","1.0"
"","high","1.4","15.0","0.1","0.0","2.0"
"","low","0.3","2.5","0.0","0.1","0.3"
"Antony Auclair","TB","0.6","7.0","0.1","0.0","1.0"
"","high","0.9","11.7","0.1","0.0","1.8"
"","low","0.3","2.1","0.0","0.0","0.3"
"Logan Thomas","BUF","1.0","10.0","0.0","0.0","1.0"
"","high","1.0","10.0","0.0","0.0","1.0"
"","low","1.0","10.0","0.0","0.0","1.0"
"Michael Roberts","DET","1.0","10.0","0.0","0.0","1.0"
"","high","1.0","10.0","0.0","0.0","1.0"
"","low","1.0","10.0","0.0","0.0","1.0"
"Garrett Celek","SF","0.5","6.5","0.1","0.0","1.0"
"","high","0.9","11.2","0.1","0.0","1.5"
"","low","0.3","4.0","0.0","0.0","0.6"
"Scott Simonson","NYG","0.7","7.1","0.1","0.0","1.0"
"","high","1.5","16.0","0.1","0.0","2.1"
"","low","0.1","0.9","0.0","0.1","0.2"
"Maxx Williams","BAL","0.7","5.6","0.1","0.0","0.9"
"","high","1.4","10.8","0.2","0.0","2.2"
"","low","0.3","3.0","0.0","0.0","0.3"
"Durham Smythe","MIA","0.6","6.1","0.1","0.0","0.9"
"","high","1.0","10.6","0.1","0.0","1.7"
"","low","0.2","1.6","0.0","0.0","0.2"
"Rico Gathers","DAL","0.6","7.0","0.0","0.0","0.9"
"","high","1.0","11.8","0.1","0.0","1.8"
"","low","0.2","2.6","0.0","0.0","0.3"
"Robert Tonyan","GB","0.4","5.9","0.0","0.0","0.9"
"","high","0.8","10.8","0.1","0.0","1.7"
"","low","0.2","2.7","0.0","0.0","0.3"
"Lee Smith","OAK","0.6","5.8","0.0","0.0","0.8"
"","high","1.0","10.8","0.1","0.0","1.7"
"","low","0.3","2.7","0.0","0.0","0.3"
"Ben Koyack","JAC","0.5","5.3","0.0","0.0","0.8"
"","high","1.1","12.7","0.2","0.0","2.2"
"","low","0.2","2.5","0.0","0.0","0.3"
"Eric Tomlinson","NYJ","0.6","6.0","0.0","0.0","0.7"
"","high","0.8","9.0","0.1","0.0","1.1"
"","low","0.3","2.5","0.0","0.0","0.3"
"Matt Lengel","CIN","0.4","4.7","0.0","0.0","0.7"
"","high","0.8","8.4","0.1","0.0","1.4"
"","low","0.2","2.1","0.0","0.0","0.4"
"Tyler Conklin","NE","0.5","4.4","0.0","0.0","0.6"
"","high","0.8","8.6","0.1","0.0","1.5"
"","low","0.3","2.0","0.0","0.0","0.2"
"Ian Thomas","CAR","0.5","5.1","0.0","0.0","0.6"
"","high","0.7","6.3","0.0","0.0","0.9"
"","low","0.4","4.0","0.0","0.0","0.5"
"Marcedes Lewis","GB","0.3","3.7","0.0","0.0","0.6"
"","high","0.4","5.0","0.1","0.0","0.8"
"","low","0.2","2.5","0.0","0.0","0.3"
"Jacob Hollister","NE","0.4","4.8","0.0","0.0","0.5"
"","high","0.7","7.7","0.0","0.0","1.0"
"","low","0.2","2.6","0.0","0.0","0.3"
"Richard Rodgers","PHI","0.4","4.3","0.0","0.0","0.5"
"","high","0.4","4.9","0.0","0.0","0.6"
"","low","0.3","3.8","0.0","0.0","0.5"
"Sean Culkin","LAC","0.2","2.7","0.0","0.0","0.5"
"","high","0.3","3.0","0.1","0.0","0.9"
"","low","0.2","2.3","0.0","0.0","0.2"
"Logan Paulsen","ATL","0.4","3.7","0.0","0.0","0.5"
"","high","0.8","7.8","0.1","0.0","1.4"
"","low","0.1","0.8","0.0","0.1","0.1"
"Alan Cross","TB","0.2","2.7","0.1","0.1","0.4"
"","high","0.5","5.3","0.1","0.0","1.1"
"","low","0.0","0.0","0.0","0.1","0.0"
"Jordan Franks","CIN","0.2","2.7","0.0","0.0","0.4"
"","high","0.2","3.2","0.1","0.0","0.8"
"","low","0.2","2.3","0.0","0.0","0.2"
"MyCole Pruitt","TEN","0.2","1.6","0.0","0.0","0.4"
"","high","0.3","2.9","0.1","0.0","1.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Ross Dwelley","SF","0.2","2.9","0.0","0.0","0.4"
"","high","0.3","3.2","0.0","0.0","0.5"
"","low","0.2","2.6","0.0","0.0","0.3"
"Temarrick Hemingway","DEN","0.2","3.0","0.0","0.0","0.3"
"","high","0.3","3.5","0.0","0.0","0.5"
"","low","0.2","2.5","0.0","0.0","0.3"
"Joshua Perkins","PHI","0.2","2.2","0.0","0.0","0.3"
"","high","0.2","2.2","0.0","0.0","0.4"
"","low","0.2","2.2","0.0","0.0","0.4"
"Dion Sims","CHI","0.4","2.7","0.0","0.0","0.3"
"","high","0.4","2.7","0.0","0.0","0.4"
"","low","0.4","2.7","0.0","0.0","0.4"
"Darren Waller","OAK","0.2","2.4","0.0","0.0","0.3"
"","high","0.3","3.8","0.0","0.0","0.5"
"","low","0.1","1.0","0.0","0.0","0.1"
"Jerell Adams","HOU","0.2","1.9","0.0","0.0","0.3"
"","high","0.3","3.9","0.0","0.0","0.6"
"","low","0.0","0.0","0.0","0.0","0.0"
"Xavier Grimble","PIT","0.3","2.9","0.0","0.0","0.3"
"","high","0.4","4.0","0.0","0.0","0.6"
"","low","0.2","1.6","0.0","0.0","0.2"
"Eric Saubert","ATL","0.3","2.8","0.0","0.0","0.3"
"","high","0.5","4.0","0.0","0.0","0.5"
"","low","0.1","1.3","0.0","0.0","0.1"
"Ben Braunecker","CHI","0.2","1.9","0.0","0.0","0.2"
"","high","0.3","2.4","0.0","0.0","0.4"
"","low","0.1","1.1","0.0","0.0","0.1"
"Daniel Brown","CHI","0.1","1.4","0.0","0.0","0.2"
"","high","0.3","2.8","0.0","0.0","0.5"
"","low","0.0","0.0","0.0","0.0","0.0"
"John Phillips","ARI","0.2","1.7","0.0","0.0","0.2"
"","high","0.3","3.4","0.0","0.0","0.5"
"","low","0.0","0.0","0.0","0.0","0.0"
"Darrell Daniels","ARI","0.1","1.1","0.0","0.0","0.2"
"","high","0.3","2.0","0.0","0.0","0.4"
"","low","0.0","0.3","0.0","0.0","0.0"
"Orson Charles","CLE","0.1","1.5","0.0","0.0","0.2"
"","high","0.2","2.6","0.0","0.0","0.3"
"","low","0.1","0.9","0.0","0.0","0.1"
"Chris Manhertz","CAR","0.2","1.4","0.0","0.0","0.1"
"","high","0.2","1.4","0.0","0.0","0.1"
"","low","0.2","1.4","0.0","0.0","0.1"
"Jeremy Sprinkle","WAS","0.1","0.7","0.0","0.0","0.1"
"","high","0.1","0.7","0.0","0.0","0.1"
"","low","0.1","0.6","0.0","0.0","0.1"
"Ryan Hewitt","IND","0.1","0.8","0.0","0.0","0.1"
"","high","0.1","1.0","0.0","0.0","0.2"
"","low","0.1","0.6","0.0","0.0","0.1"
"Hakeem Valles","NYG","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Garrett Dickerson","NYG","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Troy Fumagalli","DEN","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Garrett Griffin","NO","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Jevoni Robinson","HOU","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Deon Yelder","KC","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Henry Krieger Coble","LAR","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Clark Harris","CIN","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Will Tye","PHI","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Austin Roberts","LAC","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Bucky Hodges","PIT","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Cole Wick","SF","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Stephen Anderson","NE","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
""
""
